time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2024-04-25,0.0072463,0.0080899,0.0069518,0.0077785,1376054652.8757,129138018,156256667,127543934,140448489.0,0.01,0.01,0.01,0.01,0.01008,0.014125,0.004244,0.008612,0.010007,0.013731,0.004996,0.00928,60.95,39.05,1.56,60.62,39.38,1.54,67.24,32.76,2.05,784266.6146169,785938.0848664,816139.3216042,849619.6724895,1447932.2891,200974767.0,1888096.013,259254750.0,1447932.2891,200974767.0,1888096.013,259254750.0,,
2024-04-26,0.0077784,0.0078888,0.0072204,0.0073724,1004315616.4297,140448489,141156903,123665253,126769980.0,0.01,0.01,-0.004722,0.01,0.008612,0.010087,-0.009623,0.010072,0.00928,0.010008,-0.006713,0.010005,55.07,44.93,1.23,51.5,48.5,1.06,65.98,34.02,1.94,774374.5499629,340201.322933,892393.5575747,366939.5110668,2201074.7938,284606022.0,2048030.8015,262008521.0,2201074.7938,284606022.0,2048030.8015,262008521.0,,
2024-04-27,0.0073725,0.0074244,0.006668,0.0072024,917273998.2901,126769980,127654796,111215919,116137149.0,0.01,0.01,-0.007372,0.006773,0.010072,0.011314,-0.000651,0.008453,0.010005,0.010248,-0.003253,0.007911,66.64,33.36,2.0,62.31,37.69,1.65,65.84,34.16,1.93,735608.6300726,382091.5115387,812523.1566192,421472.142587,1917444.7273,261415569.0,1722378.94,232517456.0,1917444.7273,261415569.0,1722378.94,232517456.0,,
2024-04-28,0.0072025,0.0077628,0.0071246,0.0072219,736924946.8271,116137149,126955239,113761296,114094128.0,0.006773,0.01,-0.007969,0.01,0.008453,0.0111,-0.001644,0.010414,0.007911,0.01024,-0.003417,0.010096,67.98,32.02,2.12,63.83,36.17,1.77,66.7,33.3,2.0,455331.5476166,319252.7335887,489661.6446311,341319.6062036,1808409.6067,252408972.0,1477380.8409,204172121.0,1808409.6067,252408972.0,1477380.8409,204172121.0,,
2024-04-29,0.0072219,0.0074871,0.0067842,0.0073579,802837723.8372,114094128,119255301,109015515,117981444.0,0.01,0.01,-0.001968,0.01,0.010414,0.010414,-0.011324,0.010026,0.010096,0.010096,-0.006666,0.009999,65.93,34.07,1.94,63.17,36.83,1.72,66.49,33.51,1.98,433724.8412445,333911.1969107,457003.1891905,352178.8834674,1929623.0228,268817034.0,1748616.1687,241157263.0,1929623.0228,268817034.0,1748616.1687,241157263.0,,
2024-04-30,0.0073586,0.007595,0.0063331,0.0066672,1325803120.8668,117981444,129600830,108359177,113683017.0,0.01,0.01,-0.023569,-0.02189,0.010026,0.01008,-0.01014,-0.008073,0.009999,0.010008,-0.013627,-0.01218,64.1,35.9,1.79,60.32,39.68,1.52,67.16,32.84,2.05,1022821.9045878,496069.6199643,1097888.1861761,518719.8255442,1649345.6199,225279732.0,1724787.1262,233130930.0,1649345.6199,225279732.0,1724787.1262,233130930.0,,
2024-05-01,0.0066671,0.0073,0.00592,0.0069879,1585764439.0104,113683017,114620985,98308055,106196685.0,-0.02189,0.01,-0.023618,0.01,-0.008073,0.010104,-0.018601,0.009997,-0.01218,0.010017,-0.019504,0.009997,71.78,28.22,2.54,65.23,34.77,1.88,62.77,37.23,1.69,1004253.9135548,822632.1909004,1111712.6102861,874119.1156019,1985553.3954,299445845.0,1793278.0153,267594097.0,1985553.3954,299445845.0,1793278.0153,267594097.0,,
2024-05-02,0.0069878,0.0078764,0.0066656,0.0075411,1543130127.9428,106196685,144492338,97700065,139561066.0,0.01,0.01,0.000944,0.01,0.009997,0.010107,0.001682,0.008558,0.009997,0.010016,0.001795,0.006663,64.79,35.21,1.84,58.12,41.88,1.39,62.97,37.03,1.7,582030.9987897,881467.2232911,616562.0234575,954016.890386,1871085.1712,269491891.0,1796314.8094,255994186.0,1871085.1712,269491891.0,1796314.8094,255994186.0,,
2024-05-03,0.0075418,0.0083279,0.007454,0.0080717,1416802223.5985,139561066,167536857,137794264,149616826.0,0.01,0.01,0.01,0.01,0.008558,0.011895,0.005208,0.006237,0.006663,0.010944,0.00591,0.007747,50.65,49.35,1.03,51.03,48.97,1.04,62.0,38.0,1.63,687470.9963491,792095.6293142,742883.2505818,872418.4885578,2429048.4555,323927556.0,1993726.0601,263105939.0,2429048.4555,323927556.0,1993726.0601,263105939.0,,
2024-05-04,0.0080718,0.0089911,0.00801,0.0086737,1194998027.835,149616826,179422867,149036049,173550156.0,0.01,0.01,0.01,0.01,0.006237,0.023551,0.006136,0.009629,0.007747,0.020443,0.007725,0.010259,50.87,49.13,1.04,47.77,52.23,0.92,63.45,36.55,1.74,407786.7508699,674898.8324642,435993.4316756,743015.8680397,2281729.0366,283766008.0,2137306.5385,263149496.0,2281729.0366,283766008.0,2137306.5385,263149496.0,,
