time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2024-04-25,64250.0,65270.6,62721.3,64478.8,17612408773.4342,4502561363,4533801510,4329153232,4339295975.0,0.00702,0.01,-0.001805,0.00168,0.010173,0.010173,-0.000791,0.000438,0.009493,0.009493,-0.002948,-0.000659,65.57,34.43,1.9,65.96,34.04,1.94,56.04,43.96,1.28,13787008.99864,6287420.58013,15612117.99574,7706264.24223,81639959.9338,1276.645,78533053.6862,1217.125,81639959.9338,1276.645,78533053.6862,1217.125,8693223144.116,8919185629.3182
2024-04-26,64478.7,64783.1,63291.5,63748.8,12953562908.9849,4339295975,4382436901,4210892931,4289655298.0,0.00168,0.01,0.000174,0.01,0.000438,0.010042,-0.001825,0.009812,-0.000659,0.01006,-0.002867,0.009532,62.69,37.31,1.68,61.79,38.21,1.62,54.39,45.61,1.19,3764846.11332,2179297.22404,6342098.11962,2945551.72464,81639959.9338,1276.645,78533053.6862,1217.125,81639959.9338,1276.645,78533053.6862,1217.125,6493068963.188,6460493945.7969
2024-04-27,63748.7,63901.4,62332.8,63421.0,10551185173.9539,4289655298,4311194123,4167012086,4259559020.0,0.01,0.01,0.001023,0.001023,0.009812,0.009812,0.003897,0.004301,0.009532,0.009714,0.003734,0.00407,66.85,33.15,2.02,66.0,34.0,1.94,56.01,43.99,1.27,3458447.55897,2298026.11856,5872467.57067,3122419.50746,119532853.9462,1884.63,88997371.6587,1390.054,119532853.9462,1884.63,88997371.6587,1390.054,5121532300.5187,5429652873.4352
2024-04-28,63420.9,64350.0,62700.0,63088.3,8016661482.1787,4259559020,4367914621,4145952947,4148763399.0,0.001023,0.003744,-0.002772,0.002519,0.004301,0.007673,-0.00425,0.003444,0.00407,0.008225,-0.006495,0.00223,68.54,31.46,2.18,67.23,32.77,2.05,55.33,44.67,1.24,2346267.449,2734635.49643,2982172.9824,3349412.38403,92221645.0891,1460.441,116436146.8573,1825.762,92221645.0891,1460.441,116436146.8573,1825.762,3922114045.4061,4094547436.7726
2024-04-29,63088.4,64200.0,61726.2,63842.4,14314248545.4903,4148763399,4306730029,4117375004,4249575141.0,0.002519,0.009819,0.000859,0.00974,0.003444,0.009818,-0.006919,0.005857,0.00223,0.009711,-0.008278,0.004518,68.71,31.29,2.2,66.88,33.12,2.02,54.35,45.65,1.19,4539780.38438,4663850.95164,7428999.86908,5789146.48904,92850833.9089,1479.251,78790811.8714,1244.222,92850833.9089,1479.251,78790811.8714,1244.222,7115859277.3749,7198389268.1154
2024-04-30,63842.4,64700.0,59150.0,60651.2,25092892151.668,4249575141,4488689476,4218127711,4397700935.0,0.00974,0.01,0.009006,0.01,0.005857,0.010317,-0.006181,0.009676,0.004518,0.010082,-0.003682,0.009094,65.38,34.62,1.89,64.43,35.57,1.81,54.73,45.27,1.21,14134144.49102,7071272.71742,22318904.50562,9044216.03462,88997351.0995,1399.962,108236081.3436,1686.316,88997351.0995,1399.962,108236081.3436,1686.316,12187483940.3283,12905408211.3397
2024-05-01,60651.2,60816.7,56537.7,58307.6,32693924021.3483,4397700935,4416140550,3923241670,3988662929.0,0.01,0.01,0.00524,0.0068,0.009676,0.010176,0.001929,0.005999,0.009094,0.01018,0.002717,0.005304,77.58,22.42,3.46,75.67,24.33,3.11,56.51,43.49,1.3,12937274.35701,10019282.92741,25190418.67921,12924133.74871,67814359.337,1123.141,68032957.0104,1116.819,67814359.337,1123.141,68032957.0104,1116.819,15901900186.9011,16792023834.4472
2024-05-02,58307.7,59637.3,56951.6,59036.7,17487969119.0605,3988662929,4139527476,3877604078,3988560390.0,0.0068,0.007245,-0.004973,-0.001549,0.005999,0.00871,-0.0101,-0.007382,0.005304,0.007987,-0.008167,-0.005752,74.74,25.26,2.96,73.81,26.19,2.82,56.4,43.6,1.29,4169809.51353,4919001.3649,6245937.91673,7408183.3105,59467461.8735,1024.478,66313866.694,1133.125,59467461.8735,1024.478,66313866.694,1133.125,8753193227.415,8734775891.6455
2024-05-03,59036.7,63333.0,58781.3,62853.7,21564299244.1295,3988560390,4560785953,3969533790,4532000398.0,-0.001549,0.008184,-0.004369,0.002668,-0.007382,0.004348,-0.011245,-0.004976,-0.005752,0.004832,-0.009095,-0.004344,65.89,34.11,1.93,65.53,34.47,1.9,55.73,44.27,1.26,4005593.41774,10439979.60749,4842415.49754,16963777.32529,86726439.0024,1476.551,99527119.6119,1681.433,86726439.0024,1476.551,99527119.6119,1681.433,11083962902.4976,10480336341.6319
2024-05-04,62853.7,64547.9,62520.0,63864.2,13034655817.2657,4532000398,4828462371,4492339498,4712529731.0,0.002668,0.01,0.002503,0.006927,-0.004976,0.008076,-0.005364,0.0071,-0.004344,0.007353,-0.005313,0.005864,55.56,44.44,1.25,55.27,44.73,1.24,55.13,44.87,1.23,2282076.6911,5828927.43456,2842165.6249,7410170.63366,92205060.99,1473.101,82672089.3292,1309.564,92205060.99,1473.101,82672089.3292,1309.564,6653809186.2142,6380846631.0515
