time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity
2022-12-26 07:00:00,16844.5,16847.9,16830,16836.6,91081446.3789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 08:00:00,16836.7,16836.8,16811,16831.5,109217104.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 09:00:00,16831.5,16845,16824.9,16825,56577862.8675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 10:00:00,16825.1,16858.7,16820.3,16840.5,100611413.2622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 11:00:00,16840.4,16863,16836.8,16854,75071618.4831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 12:00:00,16854.1,16858.9,16844.7,16849.9,54777336.7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 13:00:00,16849.9,16850.6,16821,16829.9,112073646.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 14:00:00,16830,16836.2,16817,16823.6,91177685.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 15:00:00,16823.6,16828.4,16781.1,16801.2,187831879.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 16:00:00,16801.1,16834.2,16792,16831.4,126567070.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 17:00:00,16831.5,16838.9,16818.4,16827,57160187.6177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 18:00:00,16827,16835,16807.1,16811.3,60550967.3774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 19:00:00,16811.3,16856.5,16807.6,16834.9,110091097.1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 20:00:00,16834.9,16839.9,16827.9,16834.2,35383794.2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 21:00:00,16834.3,16845.2,16815,16826.2,50106123.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 22:00:00,16826.2,16840.9,16825,16831.5,37763769.7097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 23:00:00,16831.5,16936.8,16810.2,16912.9,330901717.4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 00:00:00,16912.8,16968,16830,16863,475634689.4337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 01:00:00,16863.1,16881.8,16842.8,16859.8,114498484.9741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 02:00:00,16859.8,16883.8,16859.7,16872.6,68952785.3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 03:00:00,16872.7,16875,16849,16868.1,61986075.8336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 04:00:00,16868.1,16885.8,16860.7,16883.6,53829929.6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 05:00:00,16883.6,16888,16860.3,16862.3,52600601.6792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 06:00:00,16862.4,16884,16850.5,16882.4,72608466.3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 07:00:00,16882.4,16882.4,16843,16859.6,77905056.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 08:00:00,16859.6,16864.4,16830,16840.4,118841351.9104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 09:00:00,16840.5,16874.8,16832,16869.7,99701960.8348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 10:00:00,16869.7,16870.2,16841.9,16852.2,75738842.4477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 11:00:00,16852.2,16854.3,16800.6,16823.7,224208008.1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 12:00:00,16823.6,16831.3,16790.1,16803.2,179807757.0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 13:00:00,16803.1,16830,16795.8,16811.1,119414276.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 14:00:00,16811.1,16822.9,16723.2,16764.3,461368079.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 15:00:00,16764.2,16833.4,16739.5,16790.7,358702985.8585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 16:00:00,16790.7,16795.4,16749.5,16769.7,204069924.4914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 17:00:00,16769.7,16776,16615,16673,534367176.9208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 18:00:00,16673,16676.9,16608.4,16630.9,285883767.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 19:00:00,16630.9,16681.3,16580,16681.3,279218037.5551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 20:00:00,16681.4,16689.9,16651,16658.3,165437376.0773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 21:00:00,16658.4,16714.1,16646.3,16696.3,132624157.4189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 22:00:00,16696.4,16702,16678.5,16682,92114634.4136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27 23:00:00,16682.1,16713.5,16675.9,16698.2,98483805.7235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28 00:00:00,16698.2,16717.2,16664,16680.7,128705516.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28 01:00:00,16680.6,16745,16643.2,16689.4,213474185.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
