time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2024-04-25,0.15131,0.15432,0.14733,0.15123,738544734.7327,241877238,253117046,237981662,247284286.0,0.00307,0.01,-0.00987,-0.005722,0.007646,0.016631,-0.003014,0.002897,0.002341,0.010454,-0.006053,-0.002945,81.3,18.7,4.35,78.65,21.35,3.68,77.12,22.88,3.37,479985.954894,320112.389748,510592.54938,337604.540602,3746740.5409,24874253.0,3573815.1599,23518399.0,3746740.5409,24874253.0,3573815.1599,23518399.0,365979361.9582,372565372.7745
2024-04-26,0.15124,0.15171,0.14674,0.14792,578028224.0404,247284286,249015260,241373617,244657887.0,-0.005722,0.01,-0.005722,0.00504,0.002897,0.012622,0.002423,0.006331,-0.002945,0.008322,-0.002945,0.003221,79.06,20.94,3.78,75.67,24.33,3.11,74.46,25.54,2.92,485114.665861,119532.863768,544582.484671,120073.975888,4292494.2555,28514923.0,4047049.7275,26655995.0,4292494.2555,28514923.0,4047049.7275,26655995.0,277340440.2441,300687783.7963
2024-04-27,0.14791,0.14965,0.14145,0.14767,604821361.4731,244657887,245793186,232105678,239791650.0,0.00504,0.01,-0.004383,0.005805,0.006331,0.015879,0.002074,0.006613,0.003221,0.008307,0.000419,0.001613,78.48,21.52,3.65,74.22,25.78,2.88,75.08,24.92,3.01,1273230.041106,99226.457123,1616368.432457,115924.064385,4878331.1968,33144209.0,3601057.1256,24254800.0,4878331.1968,33144209.0,3601057.1256,24254800.0,292027539.6057,312793821.8674
2024-04-28,0.14767,0.15106,0.14588,0.14659,430662569.4571,239791650,249125928,239235841,242418637.0,0.005805,0.01,-0.00124,0.01,0.006613,0.016101,0.002781,0.014562,0.001613,0.008658,-0.002576,0.007411,77.29,22.71,3.4,72.84,27.16,2.68,74.69,25.31,2.95,171814.184071,175125.906779,206991.925147,179375.420887,4291305.9407,29179172.0,3716160.7693,25051334.0,4291305.9407,29179172.0,3716160.7693,25051334.0,209087850.6505,221574718.8066
2024-04-29,0.14659,0.14803,0.13943,0.14334,748618618.3145,242418637,245720229,236138049,240574079.0,0.01,0.01,-0.006418,0.003857,0.014562,0.019003,0.003519,0.003536,0.007411,0.011177,0.000442,0.000445,75.78,24.22,3.13,69.34,30.66,2.26,74.41,25.59,2.91,2077710.766527,334583.559874,2261650.44802,342786.374287,3906946.8415,26795632.0,4132576.0495,28088780.0,3906946.8415,26795632.0,4132576.0495,28088780.0,361117266.0366,387501352.2779
2024-04-30,0.14334,0.14593,0.12901,0.13329,1009765991.1387,240574079,244617551,207651193,209984103.0,0.003857,0.008786,-0.008212,-0.007473,0.003536,0.014665,-0.005712,-0.004132,0.000445,0.008512,-0.007155,-0.006174,77.66,22.34,3.48,72.48,27.52,2.63,72.9,27.1,2.69,3217788.634546,139697.77408,4122155.060713,223302.836084,3885451.5459,27232141.0,2428606.2944,16856889.0,3885451.5459,27232141.0,2428606.2944,16856889.0,485747214.5188,524018776.6199
2024-05-01,0.13329,0.13387,0.12002,0.13014,1447769546.2531,209984103,211214620,185909532,190335140.0,-0.007473,0.01,-0.009745,-0.00776,-0.004132,0.012599,-0.005964,-0.002539,-0.006174,0.01032,-0.00733,-0.004477,79.97,20.03,3.99,75.9,24.1,3.15,74.85,25.15,2.98,1783033.168905,747844.825045,2599858.671386,806263.291251,3640642.2095,27439379.0,3299996.4489,24654042.0,3640642.2095,27439379.0,3299996.4489,24654042.0,706527736.3935,741241809.8596
2024-05-02,0.13013,0.13436,0.12397,0.13188,907166497.0195,190335140,199849504,185214692,190988874.0,-0.00776,0.01,-0.009289,-0.003101,-0.002539,0.010005,-0.00929,0.001332,-0.004477,0.008294,-0.009273,-0.001123,76.78,23.22,3.31,71.83,28.17,2.55,71.53,28.47,2.51,290622.138633,442286.833062,302446.730667,495254.902825,3735211.9761,28848530.0,2569523.3608,19672858.0,3735211.9761,28848530.0,2569523.3608,19672858.0,449477636.0365,457688860.983
2024-05-03,0.13187,0.148,0.13104,0.14597,855603798.8418,190988874,219036340,189590303,215830340.0,-0.003101,0.01,-0.010343,0.002035,0.001332,0.009223,-0.00574,0.002051,-0.001123,0.005857,-0.00652,-0.000634,76.69,23.31,3.29,72.65,27.35,2.66,70.89,29.11,2.44,178127.594077,1198728.267981,187241.406887,1518877.653449,4018553.0137,30637448.0,2853545.3546,21554441.0,4018553.0137,30637448.0,2853545.3546,21554441.0,435216881.6766,420386917.1652
2024-05-04,0.14597,0.17025,0.14565,0.16005,2165942659.7052,215830340,278023696,215294492,250426089.0,0.002035,0.01,-0.000411,0.004928,0.002051,0.010884,-0.001147,0.007778,-0.000634,0.0068,-0.003282,0.004418,71.61,28.39,2.52,68.28,31.72,2.15,71.12,28.88,2.46,635750.398839,1635918.180289,873623.739586,2460925.185251,4514046.4133,31067779.0,3286228.3127,22416120.0,4514046.4133,31067779.0,3286228.3127,22416120.0,1077548335.9258,1088394323.7794
