time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2024-04-25,3138.84,3189.97,3070.16,3154.44,7671600462.7913,2144134014,2197971891,2117684858.0,2127862270.0,0.000466,0.01,-0.002968,0.001664,0.005245,0.008872,-0.000245,0.002483,0.00278,0.008035,-0.001344,0.000976,78.35,21.65,3.62,77.57,22.43,3.46,63.88,36.12,1.77,3411169.58452,7820618.16748,4283170.69978225,7997044.32322309,33542245.8473,10724.365,33911651.6126,10767.282,33542245.8473,10724.365,33911651.6126,10767.282,3774468458.1241,3897132004.6672
2024-04-26,3154.44,3167.2,3100.38,3129.98,5531739048.6069,2127862270,2164083501,2096984197.0,2137328908.0,0.001664,0.01,0.000956,0.01,0.002483,0.009107,-0.000931,0.00807,0.000976,0.009074,0.000192,0.008273,75.14,24.86,3.02,75.88,24.12,3.15,63.74,36.26,1.76,3033276.91629,2168176.76993,3399855.70769325,2312476.98635,47870823.574,15243.793,35428559.6775,11193.918,47870823.574,15243.793,35428559.6775,11193.918,2758220481.4498,2773518567.1571
2024-04-27,3129.98,3283.54,3062.8,3253.97,6971864380.5495,2137328908,2289141332,2080366221.0,2266142851.0,0.01,0.01,0.001762,0.0093,0.00807,0.010902,0.002915,0.010902,0.008273,0.01003,0.000959,0.01003,75.96,24.04,3.16,76.03,23.97,3.17,64.49,35.51,1.82,4129903.25803,4175090.44836,6330068.04548512,13315946.31899807,41705562.5073,13384.712,41639953.9805,13236.138,41705562.5073,13384.712,41639953.9805,13236.138,3528168301.7807,3443696078.7688
2024-04-28,3253.97,3365.69,3248.8,3262.28,6603964511.381,2266142851,2452347142,2259647823.0,2340893454.0,0.0093,0.01,0.007082,0.00883,0.010902,0.01186,0.005456,0.007571,0.01003,0.012343,0.005955,0.00822,69.09,30.91,2.24,71.67,28.33,2.53,64.91,35.09,1.85,2732981.33868,3245536.62105,3372730.48497942,6789268.24356697,44543451.6923,13743.65,43781858.2454,13380.562,44543451.6923,13743.65,43781858.2454,13380.562,3297528713.2092,3306435798.1718
2024-04-29,3262.29,3286.29,3113.02,3215.27,9429373284.8236,2340893454,2367210189,2273346806.0,2302654803.0,0.00883,0.01,0.004812,0.007518,0.007571,0.009995,0.002535,0.006923,0.00822,0.010523,0.004298,0.005431,69.45,30.55,2.27,71.92,28.08,2.56,65.51,34.49,1.9,4569142.59282,4614885.57224,7161953.49617903,5675889.72684,58142216.4886,17894.808,34602408.4082,10569.979,58142216.4886,17894.808,34602408.4082,10569.979,4564280984.3036,4865092300.52
2024-04-30,3215.28,3250.0,2918.33,3012.58,13020897619.0507,2302654803,2320131787,2139980409.0,2182860163.0,0.007518,0.009929,0.001865,0.001865,0.006923,0.009961,-0.003957,0.00573,0.005431,0.010687,-0.000382,0.003594,75.29,24.71,3.05,75.91,24.09,3.15,66.4,33.6,1.98,21535924.98449,11463688.37215,29275639.32669474,11684956.7993994,38546778.4412,12034.592,38264162.7494,11848.713,38546778.4412,12034.592,38264162.7494,11848.713,6202878359.9444,6818019259.1063
2024-05-01,3012.57,3021.94,2814.44,2970.61,12498907681.3857,2182860163,2190375917,1926337369.0,1964060599.0,0.001865,0.009394,-0.000757,-5.6e-05,0.00573,0.009299,-0.000557,0.003508,0.003594,0.009809,0.000525,0.000525,83.42,16.58,5.03,82.81,17.19,4.82,64.56,35.44,1.82,11683833.69913,6692825.61039,16624965.99981757,7980515.38090036,32650621.1933,10876.388,38826114.1727,12832.729,32650621.1933,10876.388,38826114.1727,12832.729,6051145819.412,6447761861.9737
2024-05-02,2970.61,3016.38,2890.0,2984.8,6797323552.5182,1964060599,2173787136,1879852062.0,2124845490.0,-5.6e-05,0.01,-0.000221,0.004044,0.003508,0.005431,-0.002726,0.002268,0.000525,0.006599,-0.000679,0.003842,80.86,19.14,4.23,80.36,19.64,4.09,65.41,34.59,1.89,3245709.47334,2761298.47004,3568275.95377182,3811548.05788361,32650621.1933,10876.388,38826114.1727,12832.729,32650621.1933,10876.388,38826114.1727,12832.729,3488409694.7936,3308913857.7246
2024-05-03,2984.8,3126.44,2956.86,3100.83,7151691149.8289,2124845490,2282721325,2114714243.0,2257115798.0,0.004044,0.00791,-0.001859,0.004214,0.002268,0.004373,-0.003185,0.003083,0.003842,0.00604,-0.001107,0.003708,76.35,23.65,3.23,77.0,23.0,3.35,66.56,33.44,1.99,2175418.19902,15624327.48793,2822076.58933409,16581105.19753,37984945.2081,12783.36,31090872.7523,10378.975,37984945.2081,12783.36,31090872.7523,10378.975,3647370914.0289,3504320235.8
2024-05-04,3100.83,3167.45,3090.75,3115.46,4285219314.4873,2257115798,2341676891,2248571767.0,2266082341.0,0.004214,0.01,0.004214,0.008885,0.003083,0.00888,0.001161,0.00835,0.003708,0.009237,0.003205,0.008785,71.13,28.87,2.46,71.63,28.37,2.53,65.74,34.26,1.92,1699928.31341,1558551.37409,1917592.42668916,2063191.5118236,43108508.5211,13952.508,51346059.4969,16470.086,43108508.5211,13952.508,51346059.4969,16470.086,2156926234.8843,2128293079.603
