time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2020-09-14,3.3319,3.565,3.2161,3.2661,14350129.0841,300434,992829,300434.0,676995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,3.2629,3.3258,2.9001,2.9332,13621711.0385,687063,734035,374587.0,381194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,2.9299,2.9299,2.4316,2.5395,14785567.8923,366406,485663,292545.0,452256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17,2.54,2.936,2.3569,2.8855,17030360.5108,430102,666462,430102.0,575528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18,2.8821,3.15,2.724,3.108,18671425.984,619226,719405,442379.0,559917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-19,3.108,3.2509,2.955,3.0193,15303774.9318,559484,626607,514054.0,518686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-20,3.0159,3.0173,2.6876,2.8635,12687880.6384,516628,607693,516628.0,607693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-21,2.8567,3.03,2.4576,2.7539,17301567.0659,635540,842935,544459.0,842935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-22,2.7544,3.01,2.6094,2.9183,25701864.7265,843767,1423656,710286.0,1168273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-23,2.9196,3.0935,2.6863,2.8313,21084458.801,1175388,1558411,702871.0,781614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,2.835,3.2538,2.7607,3.1392,19861857.9426,792634,1198920,792634.0,1164414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,3.1314,3.2698,2.898,3.1821,18123820.8442,1084141,1235813,845112.0,1197508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,3.1871,3.249,3.017,3.1262,15670182.4313,1195840,1233592,1104572.0,1104572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,3.1275,3.1883,2.977,3.1617,14456693.4743,1126091,1126091,935956.0,1006143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,3.1596,3.2116,2.8909,2.9564,15163873.4275,1019221,1162547,1019221.0,1059572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,2.956,3.0207,2.874,2.9517,13108477.3965,978404,1085467,885128.0,1076611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,2.95,2.989,2.8285,2.9004,11467953.0826,1088246,1088246,1002833.0,1047446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,2.9008,2.9968,2.6546,2.8701,13926229.8674,1058236,1136354,1017924.0,1046792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,2.8694,2.8851,2.4224,2.6236,14729447.9806,1043419,1046632,951279.0,965217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,2.6271,2.6689,2.5326,2.5454,10887715.1659,984383,994156,908168.0,908168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,2.5447,2.5909,2.4266,2.5236,11645814.1127,899979,1041065,871210.0,1025066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,2.5244,2.677,2.4561,2.6495,11373887.1838,1027023,1113106,979019.0,1048374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,2.6517,2.661,2.1346,2.1732,13126402.5772,1041569,1041569,809827.0,834061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07,2.1725,2.4,2.0854,2.3027,14907458.0004,796921,936858,789553.0,888855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,2.3036,2.4629,2.0117,2.3716,18833682.9536,861298,1241035,816832.0,1144440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,2.3717,2.6289,2.3101,2.5363,16532541.815,1126609,1911322,1126609.0,1779483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,2.5356,2.611,2.3907,2.407,13694551.8575,1792588,1792588,1792588.0,1792588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,2.4065,2.4609,2.3378,2.4257,11809240.05,1792588,1792588,1792588.0,1792588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12,2.4269,2.7096,2.4171,2.5825,15540617.3368,1792588,1792588,1792588.0,1792588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-13,2.582,2.5889,2.3355,2.4048,16898878.4417,1792588,2311666,1792588.0,2156815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-14,2.4053,2.4464,2.2337,2.3087,11682786.077,2165880,2210861,1924785.0,1957936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,2.3102,2.3443,2.1928,2.267,10272754.3248,1997803,1997803,1888282.0,1922732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-16,2.2668,2.2708,2.103,2.1404,12165380.6673,1922543,1951915,1782037.0,1838524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,2.1401,2.2425,2.11,2.2062,8696095.7431,1773376,1877970,1773376.0,1816585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,2.2069,2.2649,2.1804,2.1916,7446392.161,1834989,1915521,1808133.0,1915521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,2.1586,2.1827,2.051,2.0578,9766955.1072,1920815,2060335,1802994.0,2004409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,2.0576,2.1083,1.8457,1.8905,11803851.5781,2017413,2017951,1690095.0,1886142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,1.8885,2.1098,1.8575,1.8933,18700487.5371,1871448,2661634,1871448.0,2413604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,1.8933,2.0905,1.8629,1.9619,12181449.4103,2544374,2627127,2444188.0,2456521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-23,1.962,1.9938,1.8502,1.9645,10579795.2804,2407258,2619487,2384123.0,2584951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,1.9666,1.9734,1.88,1.9196,7838958.0614,2580011,2643129,2477685.0,2558536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,1.9179,1.9281,1.7628,1.7937,10676022.3762,2559747,2744245,2545067.0,2614118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,1.7946,1.8723,1.6162,1.6786,11507132.5703,2637961,2754465,2236302.0,2322729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,1.6777,1.7542,1.5928,1.7135,11909663.3027,2356625,2921135,2328968.0,2738760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,1.7131,1.7287,1.4555,1.5196,15859278.1727,2734841,2817128,2445639.0,2536114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,1.5195,1.5773,1.4146,1.4325,9497821.0462,2588223,2603230,2415285.0,2481176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,1.4321,1.4677,1.3379,1.4378,9901601.7754,2457864,2513767,2321406.0,2465262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,1.4367,1.5501,1.4269,1.5472,8673909.4853,2447015,2513700,2231312.0,2450648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,1.5474,1.6465,1.5132,1.6076,8643933.2058,2462384,2462384,2234731.0,2346512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,1.6062,1.6426,1.4644,1.4741,8073370.2685,2352523,2374517,2140200.0,2140200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,1.4729,1.4857,1.4109,1.4131,7893079.1792,2139136,2160939,2065373.0,2097070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,1.4149,1.4166,1.2737,1.391,10157449.5608,2103776,2198252,1998133.0,2091392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05,1.3912,1.489,1.302,1.4011,10159369.3563,2086481,2202744,2020590.0,2020590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,1.4015,1.9474,1.3954,1.8998,27302248.0825,2048453,3231875,2048453.0,3229048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,1.8978,2.5,1.8324,2.0283,78721543.4607,3349610,3880402,2573758.0,2646986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,2.0304,2.2868,1.965,2.1571,35733537.166,2703143,3008250,2471554.0,2770142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,2.1571,2.2024,1.9517,2.0393,25525323.8783,2758555,2812323,2454541.0,2481009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,2.0417,2.3306,2.0088,2.2652,19610738.5959,2502412,3104110,2499004.0,3104110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,2.2659,2.3041,1.9674,2.003,15399034.6074,2898301,3034195,2837476.0,2837476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,2.0012,2.0618,1.8265,1.9083,13385210.5721,2785299,2884418,2594683.0,2682820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,1.9082,2.0821,1.9,2.0191,13795911.0083,2655599,2903153,2651436.0,2903153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,2.0182,2.0381,1.8749,1.92,12345298.1356,2879701,2879701,2626506.0,2693803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,1.9206,2.2252,1.9131,2.0431,24308176.9026,2676178,3589619,2676178.0,2992718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,2.0421,2.372,1.9859,2.268,25502755.5315,3016536,4174961,3016536.0,3848479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,2.2681,2.3431,2.1263,2.207,22909390.1641,3866187,4431025,3866187.0,4231865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,2.2041,2.2246,2.0011,2.1166,19700341.7726,4261328,4446908,3572026.0,3841970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,2.1151,2.1883,2.0125,2.0797,16796014.8373,3815378,4213226,3716953.0,3829676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20,2.0802,2.2445,2.0515,2.1052,18507975.4612,3871599,4678908,3850181.0,4365506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,2.1079,2.5204,2.0313,2.3991,33386562.0977,4279353,6005412,4197195.0,5348155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,2.4013,2.4287,2.0302,2.1502,24400665.7385,5537473,5537473,4348905.0,4433651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-23,2.1488,2.3611,2.1045,2.2826,23468968.9056,4270346,4865815,4225956.0,4865815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,2.2839,2.484,2.1323,2.2894,35447407.2247,4679141,5363921,4609168.0,4982019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25,2.2896,2.4856,2.1686,2.2673,38733499.7051,5088524,5766800,4569762.0,4948641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26,2.2651,2.3097,1.712,1.9032,28344628.4508,4959484,4997348,3487708.0,3719489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,1.9424,1.9621,1.7643,1.8558,14044796.4235,3708546,3787855,3447359.0,3530021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-28,1.8551,1.9382,1.7912,1.8821,10458655.0149,3569472,3727771,3483951.0,3624438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,1.8813,1.9418,1.8439,1.9093,9089604.8814,3631039,3798412,3550135.0,3621623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,1.9101,2.015,1.8979,1.959,13058083.4157,3664455,3920915,3664455.0,3849959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,1.9594,2.1334,1.9032,1.9695,19019993.1391,3767743,4213453,3708951.0,3919988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02,1.9681,2.2047,1.9252,2.116,18316039.9035,4219111,4248076,3900946.0,4196098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03,2.1152,2.2223,2.0705,2.0989,18699713.3725,4242708,4405224,4053376.0,4092879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,2.0985,2.1129,1.8256,1.8463,13973188.2356,4061381,4103411,3722637.0,3804302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,1.8449,1.9816,1.8158,1.9776,10105219.8048,3816211,3890568,3595380.0,3679560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,1.9776,1.9899,1.8097,1.8515,9532955.9613,3680333,3805759,3593764.0,3671033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,1.8517,1.9006,1.81,1.8299,8544411.858,3643797,3844184,3626103.0,3831251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08,1.8287,1.8322,1.6271,1.6617,12913426.0564,3855433,3890384,3683310.0,3757963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,1.6617,1.6724,1.4969,1.6553,11348550.5482,3767622,3800626,3283335.0,3366680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10,1.6552,1.6644,1.5409,1.5686,10428341.5934,3346155,3377500,3126950.0,3133161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,1.5686,1.5778,1.4316,1.4406,9796541.0304,3190528,3470042,3131705.0,3340547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-12,1.4394,1.5337,1.4362,1.4886,10323914.62,3337219,4108573,3222161.0,3986236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,1.4879,1.65,1.454,1.5636,14566108.4681,3873506,4741601,3869322.0,4335700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,1.564,1.6244,1.5198,1.5936,12069998.7831,4307304,4307304,3993755.0,4025690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,1.5927,1.8012,1.5858,1.754,26263728.1686,4028571,5117082,3997424.0,4696369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,1.7527,1.7986,1.6,1.7869,21613335.5096,4601482,4601482,4003812.0,4003812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,1.7865,1.8167,1.669,1.7416,14107566.8767,4340752,4550536,4257434.0,4465478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
