timestamp,altcoin_index,altcoin_marketcap
2017-04-03,96,0
2017-04-04,100,0
2017-04-05,96,0
2017-04-06,96,0
2017-04-07,85,0
2017-04-08,89,0
2017-04-09,93,0
2017-04-10,93,0
2017-04-11,93,0
2017-04-12,89,0
2017-04-13,85,0
2017-04-14,100,0
2017-04-15,100,0
2017-04-16,100,0
2017-04-17,100,0
2017-04-18,100,0
2017-04-19,100,0
2017-04-20,100,0
2017-04-21,100,0
2017-04-22,100,0
2017-04-23,100,0
2017-04-24,100,0
2017-04-25,100,0
2017-04-26,100,0
2017-04-27,96,0
2017-04-28,100,0
2017-04-29,100,0
2017-04-30,100,0
2017-05-01,100,0
2017-05-02,100,0
2017-05-03,100,0
2017-05-04,100,0
2017-05-05,100,0
2017-05-06,100,0
2017-05-07,100,0
2017-05-08,100,0
2017-05-09,100,0
2017-05-10,96,0
2017-05-11,100,0
2017-05-12,100,0
2017-05-13,100,0
2017-05-14,100,0
2017-05-15,100,0
2017-05-16,97,0
2017-05-17,97,0
2017-05-18,97,0
2017-05-19,97,0
2017-05-20,97,0
2017-05-21,97,0
2017-05-22,100,0
2017-05-23,100,0
2017-05-24,100,0
2017-05-25,100,0
2017-05-26,100,0
2017-05-27,100,0
2017-05-28,100,0
2017-05-29,100,0
2017-05-30,100,0
2017-05-31,100,0
2017-06-01,100,0
2017-06-02,100,0
2017-06-03,100,0
2017-06-04,100,0
2017-06-05,100,0
2017-06-06,100,0
2017-06-07,100,0
2017-06-08,100,0
2017-06-09,100,0
2017-06-10,97,0
2017-06-11,97,0
2017-06-12,100,0
2017-06-13,93,0
2017-06-14,93,0
2017-06-15,90,0
2017-06-16,93,0
2017-06-17,93,0
2017-06-18,93,0
2017-06-19,93,0
2017-06-20,97,0
2017-06-21,94,0
2017-06-22,94,0
2017-06-23,94,0
2017-06-24,94,0
2017-06-25,93,0
2017-06-26,94,0
2017-06-27,94,0
2017-06-28,90,0
2017-06-29,90,0
2017-06-30,90,0
2017-07-01,94,0
2017-07-02,94,0
2017-07-03,97,0
2017-07-04,97,0
2017-07-05,97,0
2017-07-06,97,0
2017-07-07,97,0
2017-07-08,97,0
2017-07-09,97,0
2017-07-10,90,0
2017-07-11,84,0
2017-07-12,84,0
2017-07-13,100,0
2017-07-14,100,0
2017-07-15,100,0
2017-07-16,100,0
2017-07-17,77,0
2017-07-18,84,0
2017-07-19,77,0
2017-07-20,81,0
2017-07-21,77,0
2017-07-22,81,0
2017-07-23,81,0
2017-07-24,80,0
2017-07-25,84,0
2017-07-26,84,0
2017-07-27,81,0
2017-07-28,81,0
2017-07-29,71,0
2017-07-30,74,0
2017-07-31,74,0
2017-08-01,77,0
2017-08-02,81,0
2017-08-03,79,0
2017-08-04,74,0
2017-08-05,61,0
2017-08-06,58,0
2017-08-07,61,0
2017-08-08,63,0
2017-08-09,60,0
2017-08-10,63,0
2017-08-11,65,0
2017-08-12,58,0
2017-08-13,58,0
2017-08-14,39,0
2017-08-15,32,0
2017-08-16,39,0
2017-08-18,29,0
2017-08-20,23,0
2017-08-21,29,0
2017-08-22,22,0
2017-08-23,22,0
2017-08-24,41,0
2017-08-25,39,0
2017-08-26,45,0
2017-08-27,45,0
2017-08-28,40,0
2017-08-29,37,0
