time,fear_greed_index,price
2018-02-01 00:00:00,30.0,10114.49508623
2018-02-02 00:00:00,15.0,9070.55544937
2018-02-03 00:00:00,40.0,8830.16351005
2018-02-04 00:00:00,24.0,8994.91486608
2018-02-05 00:00:00,11.0,8315.51749144
2018-02-06 00:00:00,8.0,6852.05270051
2018-02-07 00:00:00,36.0,7711.22032894
2018-02-08 00:00:00,30.0,7611.0
2018-02-09 00:00:00,44.0,8208.5720845
2018-02-10 00:00:00,54.0,8650.71675043
2018-02-11 00:00:00,31.0,8574.67763849
2018-02-12 00:00:00,42.0,8168.6377798
2018-02-13 00:00:00,35.0,8911.39857421
2018-02-14 00:00:00,55.0,8518.26907619
2018-02-15 00:00:00,71.0,9428.02560716
2018-02-16 00:00:00,67.0,10112.58014345
2018-02-17 00:00:00,74.0,10155.27705553
2018-02-18 00:00:00,63.0,11006.64768596
2018-02-19 00:00:00,67.0,10523.4293058
2018-02-20 00:00:00,74.0,11103.09003615
2018-02-21 00:00:00,54.0,11502.37704964
2018-02-22 00:00:00,44.0,9973.59211952
2018-02-23 00:00:00,39.0,10032.86311231
2018-02-24 00:00:00,31.0,10301.88360934
2018-02-25 00:00:00,33.0,9742.62819007
2018-02-26 00:00:00,37.0,9699.51718152
2018-02-27 00:00:00,44.0,10355.57812649
2018-02-28 00:00:00,41.0,10709.38843105
2018-03-01 00:00:00,38.0,10346.66493104
2018-03-02 00:00:00,47.0,10859.55219439
2018-03-03 00:00:00,56.0,11098.07580925
2018-03-04 00:00:00,44.0,11356.04160167
2018-03-05 00:00:00,55.0,11286.67628917
2018-03-06 00:00:00,59.0,11526.42093029
2018-03-07 00:00:00,37.0,10727.71624921
2018-03-08 00:00:00,39.0,9999.68248605
2018-03-09 00:00:00,37.0,9420.85488959
2018-03-10 00:00:00,39.0,9276.33759031
2018-03-11 00:00:00,40.0,8890.865804
2018-03-12 00:00:00,41.0,9512.45611286
2018-03-13 00:00:00,41.0,9232.7058798
2018-03-14 00:00:00,40.0,9216.53097627
2018-03-15 00:00:00,32.0,8307.22338627
2018-03-16 00:00:00,33.0,8359.36528334
2018-03-17 00:00:00,31.0,8520.00815917
2018-03-18 00:00:00,29.0,8063.40979212
2018-03-19 00:00:00,29.0,8217.84219996
2018-03-20 00:00:00,37.0,8640.52143024
2018-03-21 00:00:00,36.0,8926.8204962
2018-03-22 00:00:00,36.0,8970.31790628
2018-03-23 00:00:00,28.0,8736.3857691
2018-03-24 00:00:00,32.0,8824.59283178
2018-03-25 00:00:00,30.0,8621.15079226
2018-03-26 00:00:00,31.0,8478.63819559
2018-03-27 00:00:00,24.0,8186.19606281
2018-03-28 00:00:00,24.0,7836.76304425
2018-03-29 00:00:00,18.0,7930.77954093
2018-03-30 00:00:00,12.0,7126.89519257
2018-03-31 00:00:00,16.0,6897.26857787
2018-04-01 00:00:00,16.0,6975.27531402
2018-04-02 00:00:00,11.0,6836.5723273
2018-04-03 00:00:00,22.0,7080.41723231
2018-04-04 00:00:00,22.0,7464.35609407
2018-04-05 00:00:00,17.0,6845.31597827
2018-04-06 00:00:00,19.0,6855.42230461
2018-04-07 00:00:00,20.0,6628.75445586
2018-04-08 00:00:00,17.0,6884.47723506
2018-04-09 00:00:00,21.0,6984.80896597
2018-04-10 00:00:00,18.0,6778.49157008
2018-04-11 00:00:00,20.0,6829.3165038
2018-04-12 00:00:00,18.0,6925.10199548
2018-04-13 00:00:00,23.0,7836.396994
2018-04-17 00:00:00,26.0,8030.99926195
2018-04-18 00:00:00,24.0,7873.6355101
2018-04-19 00:00:00,25.0,8097.4182331
2018-04-20 00:00:00,26.0,8277.46063916
2018-04-21 00:00:00,32.0,8499.45000871
2018-04-22 00:00:00,31.0,8878.4282603
2018-04-23 00:00:00,28.0,8769.01199947
2018-04-24 00:00:00,29.0,8881.39170435
2018-04-25 00:00:00,64.0,9716.48975733
2018-04-26 00:00:00,47.0,8825.20250007
2018-04-27 00:00:00,55.0,9221.86802618
2018-04-28 00:00:00,54.0,8940.38112201
2018-04-29 00:00:00,61.0,9249.65952509
2018-04-30 00:00:00,59.0,9325.62885105
2018-05-01 00:00:00,56.0,9198.18950997
2018-05-02 00:00:00,52.0,9024.38751178
2018-05-03 00:00:00,55.0,9122.65301383
