scenario,delta_profit_mean,delta_profit_per_trade_mean,delta_trade_count_mean,delta_total_fees_mean,delta_episode_max_dd_mean,delta_profit_per_trade_ci_low,delta_profit_per_trade_ci_high
candidate__baseline_current,-1.6537141939233824,-0.002536233102452009,-0.5,0.7260306563065141,0.0009536570941439809,-0.017981662454179335,0.010947129033752907
candidate__minimal_plus_entry_filter,-158.74348371542257,-0.1885543743742131,-84.08333333333333,-48.73290042561132,0.025931237700450832,-0.3351736215489887,-0.06026300408270489
candidate__minimal_signal,-130.90665909471355,-0.1568092680183192,-35.5,-37.5467800080271,-0.0004589193056355768,-0.3030108847681796,-0.032637686833145205
candidate__ultra_minimal,-133.82045587823941,-0.15434359228254377,-19.666666666666668,-38.56604667893098,0.03883270498744663,-0.3232163509661497,-0.0074306404311131205
mask__gate_flags,2.7422254173163765,0.007637105969081101,-7.75,0.7217170674698359,-0.010194980274975412,-0.016203615295389415,0.03076304258921752
mask__price_seq_1d_others,-117.69382866358508,-0.12212730601521582,-55.75,-51.09591767414785,0.09665905762372386,-0.25308001478927866,-0.004872169659318965
mask__price_seq_1d_target,-206.5746659901962,-0.3641736503062571,45.916666666666664,-35.866483884728865,0.01251423610995644,-0.5460417009059026,-0.20459607739261573
mask__price_seq_others,-150.51173769352582,-0.20639313927353795,9.583333333333334,-21.328378639107207,0.0001270883389843149,-0.33205745888668925,-0.10038594051243432
mask__price_seq_target,-54.70404228442163,-0.06873529864504836,-32.833333333333336,-12.394995859833505,0.006578778578309213,-0.1224152195643706,-0.024059455543816697
mask__regime_score,10.568772658700823,0.02130809562583026,-9.916666666666666,1.4536461306346393,-0.012795510090774067,-0.0059120983923926845,0.05012245252627609
