episode_index,profit_base,episode_trade_count_base,total_fees_base,episode_max_dd_base,termination_reason_x,profit_per_trade_base,profit_other,episode_trade_count_other,total_fees_other,episode_max_dd_other,termination_reason_y,profit_per_trade_other,scenario,delta_profit,delta_profit_per_trade,delta_trade_count,delta_total_fees,delta_episode_max_dd
0,134.47015357407878,420,71.51578997495672,0.22006975928933767,max_steps_reached,0.3201670323192352,137.26027137944197,411,72.57004820449,0.22350763806780802,max_steps_reached,0.3339665970302724,mask__price_seq_target,2.790117805363195,0.013799564711037215,-9,1.0542582295332892,0.003437878778470349
1,626.2146740208673,834,236.26124673881128,0.2519763590630414,max_steps_reached,0.7508569232864116,552.7073248272836,751,213.12899940954247,0.2357742280256937,max_steps_reached,0.7359618173465827,mask__price_seq_target,-73.50734919358365,-0.014895105939828901,-83,-23.132247329268807,-0.01620213103734769
2,26.49043084537209,691,82.27222147102617,0.3405866578244132,max_steps_reached,0.03833636880661662,-121.64890495770607,469,45.77703587904323,0.41887377219237265,balance_insufficient,-0.25937932826803,mask__price_seq_target,-148.13933580307815,-0.2977156970746466,-222,-36.49518559198294,0.07828711436795943
3,175.76551509341783,672,115.86141399572783,0.25096299529240207,max_steps_reached,0.2615558260318718,72.5355102006655,689,104.85410202855508,0.24477560393984754,max_steps_reached,0.10527650246830987,mask__price_seq_target,-103.23000489275233,-0.1562793235635619,17,-11.007311967172754,-0.006187391352554528
4,586.3554881340234,820,229.39558795036604,0.2413477619156916,max_steps_reached,0.7150676684561261,488.2913243039943,732,200.20187427470287,0.24246857915218797,max_steps_reached,0.6670646506885168,mask__price_seq_target,-98.06416383002909,-0.04800301776760929,-88,-29.19371367566316,0.0011208172364963742
5,188.4059943555361,613,112.43219434325178,0.2559589751473136,max_steps_reached,0.3073507248866821,149.65069439535392,627,107.2293821953437,0.2462750702919248,max_steps_reached,0.23867734353325984,mask__price_seq_target,-38.755299960182185,-0.06867338135342224,14,-5.202812147908077,-0.00968390485538878
6,98.15347100791973,489,75.63204349484947,0.21850467836785134,max_steps_reached,0.20072284459697287,66.8883240366257,499,71.97844145307651,0.2216062161204955,max_steps_reached,0.13404473754834811,mask__price_seq_target,-31.26514697129403,-0.06667810704862476,10,-3.653602041772956,0.0031015377526441568
7,525.03302562366,813,217.89515880690576,0.22810924905988092,max_steps_reached,0.6457970794878967,478.800315750079,742,198.2377133885858,0.21672879160601527,max_steps_reached,0.6452834444071145,mask__price_seq_target,-46.23270987358103,-0.000513635080782171,-71,-19.657445418319952,-0.01138045745386565
8,72.31724180249432,546,77.90587581898515,0.23349966630450417,max_steps_reached,0.13244916081042915,90.24691314872086,541,79.52759976167572,0.23567598933807243,max_steps_reached,0.16681499657804227,mask__price_seq_target,17.92967134622654,0.03436583576761312,-5,1.621723942690565,0.002176323033568267
9,198.92613663966904,686,123.35026313160708,0.27485991036448837,max_steps_reached,0.2899797910199257,158.58462227191006,701,114.1953451894888,0.27239779613132353,max_steps_reached,0.22622627998845943,mask__price_seq_target,-40.341514367758975,-0.06375351103146629,15,-9.154917942118274,-0.002462114233164836
10,168.34213982570895,674,116.34384826591078,0.25161326385357113,max_steps_reached,0.2497657860915563,79.53069365277048,702,103.07079434278177,0.28768255838345086,max_steps_reached,0.11329158639995796,mask__price_seq_target,-88.81144617293847,-0.13647419969159835,28,-13.273053923129012,0.036069294529879725
11,97.99445664053042,441,69.16656383335618,0.2232141960764813,max_steps_reached,0.2222096522461007,89.17313114107901,441,68.52092138046616,0.22388257224949504,max_steps_reached,0.20220664657841045,mask__price_seq_target,-8.821325499451405,-0.020003005667690255,0,-0.6456424528900158,0.0006683761730137405
