episode_index,profit_base,episode_trade_count_base,total_fees_base,episode_max_dd_base,termination_reason_x,profit_per_trade_base,profit_other,episode_trade_count_other,total_fees_other,episode_max_dd_other,termination_reason_y,profit_per_trade_other,scenario,delta_profit,delta_profit_per_trade,delta_trade_count,delta_total_fees,delta_episode_max_dd
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,134.68086054732345,413,72.79674151181186,0.2272420314848043,max_steps_reached,0.3261037785649478,mask__price_seq_target,5.156090418845565,0.02133961355676456,-12,0.3597906502736947,0.008998068096158635
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,549.7987752522577,750,213.87949031300266,0.23580443749226968,max_steps_reached,0.7330650336696769,mask__price_seq_target,-80.67239592076123,-0.024712816297893903,-82,-23.41131332793387,-0.014916212742650953
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,-121.98557810647216,476,43.937769480267825,0.4152127048612684,balance_insufficient,-0.25627222291275664,mask__price_seq_target,-0.523369149585875,-0.015275776569728283,-28,-4.354145059812865,0.00044728947893002413
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,3.713336971010449,746,93.863401690307,0.3936263154008282,max_steps_reached,0.004977663500014007,mask__price_seq_target,-156.42961245667038,-0.23404166400398724,76,-20.069935049597433,0.13158556024921986
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,492.24640093169523,731,200.70622091951117,0.22539779600853507,max_steps_reached,0.673387689373044,mask__price_seq_target,-105.80625255515486,-0.06861312140468556,-75,-30.34376284463022,-0.020111008659528695
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,167.60319210271058,628,110.34645094397537,0.2396853719152779,max_steps_reached,0.2668840638578194,mask__price_seq_target,-27.001385678519682,-0.050061502561122406,14,-4.03118503183174,-0.013581417567277154
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,100.49118543672364,413,69.47445051797165,0.24434610386535308,max_steps_reached,0.24332006159012987,mask__price_seq_others,-29.033584691754243,-0.0614441034180534,-12,-2.962500343566518,0.02610214047670742
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,491.21206039141634,753,206.74945885002083,0.2678826275813943,max_steps_reached,0.6523400536406592,mask__price_seq_others,-139.25911078160254,-0.10543779632691164,-79,-30.5413447909157,0.017161977346473678
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,-121.73132855008714,102,13.681979154321548,0.4154424833198439,balance_insufficient,-1.1934443975498739,mask__price_seq_others,-0.26911959320085543,-0.9524479512068456,-402,-34.609935385759144,0.0006770679375055488
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,65.25164066201728,652,96.46110048664615,0.264884632367811,max_steps_reached,0.10007920346935166,mask__price_seq_others,-94.89130876566355,-0.13894012403464956,-18,-17.472236253258288,0.0028438772162026615
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,411.8338593914874,735,189.83833352240555,0.23521558905731332,max_steps_reached,0.5603181760428401,mask__price_seq_others,-186.21879409536268,-0.18168263473488955,-71,-41.21165024173584,-0.010293215610750445
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,140.225313446536,587,105.8838941258047,0.297336301359977,max_steps_reached,0.23888469070960136,mask__price_seq_others,-54.379264334694255,-0.07806087570934042,-27,-8.493741850002408,0.044069511877421974
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,83.41871391582384,486,70.65447078696016,0.22594987799673172,max_steps_reached,0.17164344427124248,mask__price_seq_1d_target,-46.10605621265404,-0.13312072073694078,61,-1.7824800745780038,0.007705914608086062
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,53.106420525162946,1015,131.0720940915884,0.25710001804628413,max_steps_reached,0.052321596576515216,mask__price_seq_1d_target,-577.364750647856,-0.7054562533910556,183,-106.21870954934812,0.006379367811363501
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,-120.95478993420485,119,14.125461061410194,0.41214225738952975,balance_insufficient,-1.0164268061697888,mask__price_seq_1d_target,0.5074190226814324,-0.7754303598267605,-385,-34.1664534786705,-0.0026231579928086
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,46.95513888445737,768,103.50720643523623,0.2400129566950231,max_steps_reached,0.06113950375580387,mask__price_seq_1d_target,-113.18781054322346,-0.17787982374819736,98,-10.426130304668206,-0.022027798456585257
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,58.73771512294121,969,128.36934859213105,0.2404951216289707,max_steps_reached,0.06061683707217875,mask__price_seq_1d_target,-539.3149383639088,-0.6813839737055508,163,-102.68063517201034,-0.005013683039093081
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,102.1240402911377,657,103.05966443200585,0.2522702065996429,max_steps_reached,0.15543993956033136,mask__price_seq_1d_target,-92.48053749009256,-0.16150562685861042,43,-11.317971543801264,-0.000996582882912156
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,92.91765848277976,403,62.854408795932336,0.2438335501930577,max_steps_reached,0.23056490938655028,mask__price_seq_1d_others,-36.607111645698126,-0.07419925562163299,-22,-9.582542065605828,0.025589586804412034
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,52.97008057234336,945,110.521533208481,0.37562194392898346,max_steps_reached,0.056052995314649065,mask__price_seq_1d_others,-577.5010906006755,-0.7017248546529218,113,-126.76927043245553,0.12490129369406283
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,49.48493509008313,533,70.88023315721324,0.26000699369373576,max_steps_reached,0.09284227971873008,mask__price_seq_1d_others,170.9471440469694,0.33383872606175846,29,22.58831861713255,-0.1547584216886026
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,97.59127718293365,604,90.82690229497764,0.30721608422153124,max_steps_reached,0.1615749622234001,mask__price_seq_1d_others,-62.55167224474718,-0.07744436528060114,-66,-23.10643444492679,0.04517532906992289
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,65.99512429290013,918,105.60039427614377,0.3678921004987619,max_steps_reached,0.07189011360882368,mask__price_seq_1d_others,-532.0575291939499,-0.6701106971689059,112,-125.44958948799761,0.12238329583069815
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,124.42409201864524,542,89.53888303233136,0.3257717176866697,max_steps_reached,0.22956474542185468,mask__price_seq_1d_others,-70.18048576258502,-0.0873808209970871,-72,-24.838752943475754,0.07250492820411464
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,124.43841050228383,428,72.36721257045402,0.23101769516775114,max_steps_reached,0.2907439497716912,candidate__baseline_current,-5.086359626194053,-0.01402021523649205,3,-0.06973829108414975,0.012773731779105485
