window_size,window_size_1d,horizon_k,recent_bars,n_valid,n_train,n_valid_split,n_test,binary_positive_rate_train,binary_positive_rate_test
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334
12,6,12,12,2000,1400,300,300,0.4992857142857143,0.45
12,12,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334
12,12,12,12,2000,1400,300,300,0.4992857142857143,0.45
24,6,12,12,2000,1400,300,300,0.5042857142857143,0.45666666666666667
24,6,24,24,2000,1400,300,300,0.5242857142857142,0.47
24,12,12,12,2000,1400,300,300,0.5042857142857143,0.45666666666666667
24,12,24,24,2000,1400,300,300,0.5242857142857142,0.47
48,6,24,24,2000,1400,300,300,0.5264285714285715,0.47333333333333333
48,6,48,48,2000,1400,300,300,0.505,0.57
48,12,24,24,2000,1400,300,300,0.5264285714285715,0.47333333333333333
48,12,48,48,2000,1400,300,300,0.505,0.57
