window_size,window_size_1d,horizon_k,recent_bars,rows_count,mean_signal_score,top_signal_mean,mean_auc_binary,mean_macro_f1,mean_importance_pct
48,6,48,48,873,0.1766674104601457,0.3887002942742011,0.486667536976619,0.4095150651649937,0.004581901489117984
48,12,48,48,873,0.17642835804200718,0.3887002942742011,0.485318296911433,0.41020457502526936,0.004581901489117984
24,6,24,24,873,0.20372611992703904,0.3520503592715309,0.5046959687431709,0.47227192074342317,0.004581901489117984
24,12,24,24,873,0.20284813673623484,0.3520503592715309,0.5029936714516666,0.47227192074342317,0.004581901489117984
48,6,24,24,873,0.2022487651125238,0.3484091867116614,0.5026263070907355,0.47083661819155176,0.004581901489117983
48,12,24,24,873,0.20154867523487874,0.3484091867116614,0.5011754192707392,0.47083661819155176,0.004581901489117984
24,6,12,12,873,0.20637123519212183,0.34434293096648516,0.5028985179402494,0.48590892995471613,0.004581901489117984
24,12,12,12,873,0.20628215833673105,0.34434293096648516,0.5029622267044056,0.48590892995471613,0.004581901489117983
12,12,12,12,873,0.20607057862564285,0.311980958820774,0.5007126116709928,0.48873939564251995,0.004581901489117984
12,6,12,12,873,0.20625267449846035,0.31105619691019,0.5005889877520271,0.48873939564251995,0.004581901489117984
12,6,6,6,873,0.20828940614562413,0.30600415503846573,0.5016110302015604,0.49710559702027246,0.004581901489117984
12,12,6,6,873,0.20815993812273503,0.30600415503846573,0.5017614582576797,0.49710559702027246,0.004581901489117984
