cnn_key,obs_key,channel,concept_key,variant,symbol_scope,normalized_name,mean_auc_binary,mean_macro_f1,mean_importance_pct,mean_signal_score,std_signal_score,specs_count,positive_signal_specs,mean_window_size,mean_horizon_k,signal_score_ci_low,signal_score_ci_high
1d_others,price_seq_1d_others,ETHUSDT_trades_ema_12_48_spread,trades,ema_12_48_spread,symbol,trades_ema_12_48_spread,0.5581329905283204,0.44287824013799154,0.4570606285544514,0.3017611793049742,0.09027592343644777,12,12,28.0,21.0,0.2546873491252635,0.351899042325727
5m_others,price_seq_others,1000PEPEUSDT_high_roc_12,high,roc_12,symbol,high_roc_12,0.5538920099619777,0.46108871858688566,0.018354384203957665,0.2734490586072358,0.11351616120359748,12,12,28.0,21.0,0.20948529824339168,0.334123237181739
5m_others,price_seq_others,DOGEUSDT_up_volume_ratio_12,up_volume_ratio_12,raw,symbol,up_volume_ratio_12,0.5932953243056461,0.4424983013901967,0.011957575164521747,0.26455878307403635,0.08445607458298757,12,12,28.0,21.0,0.2148596852386767,0.3073324918164903
5m_others,price_seq_others,1000PEPEUSDT_volume_log_z,volume,log_z,symbol,volume_log_z,0.5528482922467616,0.44287824013799154,0.02235191774531513,0.247423384021772,0.11354645166236992,12,12,28.0,21.0,0.18988673136044829,0.3100932851770417
1d_others,price_seq_1d_others,SOLUSDT_liq_long_z_long,liq_long,z_long,symbol,liq_long_z_long,0.5040376978341029,0.44287824013799154,0.173303189951952,0.24114624202033538,0.11257150484377011,12,12,28.0,21.0,0.1850026626626224,0.3040136052439315
5m_others,price_seq_others,1000PEPEUSDT_trades_z_short,trades,z_short,symbol,trades_z_short,0.5459787421580459,0.4557211808106771,0.02445141813517057,0.24086864025510835,0.09071319509961966,12,12,28.0,21.0,0.19292051066855495,0.2900795394530029
5m_others,price_seq_others,1000PEPEUSDT_volume_impact_scale,volume_impact,scale,symbol,volume_impact_scale,0.5569169887926353,0.4424241528987511,0.019169408539257606,0.24084585007915857,0.10902705295401334,12,12,28.0,21.0,0.1833444185508157,0.3014146804817484
5m_others,price_seq_others,ETHUSDT_volume_ratio_z_long,volume_ratio,z_long,symbol,volume_ratio_z_long,0.5470618187742534,0.4698955446735927,0.024434083066399923,0.2387604427675242,0.07951106152056836,12,12,28.0,21.0,0.20245011291443848,0.28830101164415395
5m_target,price_seq_target,sell_volume_roc_12,sell_volume,roc_12,global,sell_volume_roc_12,0.5280403566922706,0.4379515119875035,0.094216117488692,0.23457492411605688,0.114082043783026,12,12,28.0,21.0,0.17826294568254564,0.29871035917378647
5m_others,price_seq_others,1000PEPEUSDT_sell_volume_z_short,sell_volume,z_short,symbol,sell_volume_z_short,0.5306212086799199,0.44287824013799154,0.021052783466385328,0.23174196710764292,0.09136494257978302,12,12,28.0,21.0,0.18478324799471935,0.28281748257113526
5m_others,price_seq_others,SOLUSDT_trades_z_short,trades,z_short,symbol,trades_z_short,0.5434293120127381,0.441812084220598,0.029558433779870483,0.2276980002902528,0.10372328143016397,12,12,28.0,21.0,0.17380428254971522,0.2889128331950125
5m_target,price_seq_target,volume_ratio_z_long,volume_ratio,z_long,global,volume_ratio_z_long,0.5323997706449178,0.4464639765624899,0.10137601269482029,0.227270395038222,0.09007641234522744,12,12,28.0,21.0,0.1821525612874857,0.27801697033090994
5m_others,price_seq_others,1000PEPEUSDT_long_short_ratio_z_short,long_short_ratio,z_short,symbol,long_short_ratio_z_short,0.5315460209641635,0.4492274900903306,0.029089817540596526,0.22725622520922065,0.09750288664822171,12,12,28.0,21.0,0.1768915364881793,0.28235221258404747
1d_others,price_seq_1d_others,SOLUSDT_open_z_short,open,z_short,symbol,open_z_short,0.5238181792678679,0.44287824013799154,0.13021680557853513,0.22615456705043016,0.1051789175545851,12,12,28.0,21.0,0.17512788527082707,0.28669785543722864
5m_others,price_seq_others,SOLUSDT_trades_roc_12,trades,roc_12,symbol,trades_roc_12,0.5431062974074999,0.44188932522257973,0.008553381345744465,0.2256038167633685,0.09149686839249163,12,12,28.0,21.0,0.18221432638146381,0.27763974541881237
5m_others,price_seq_others,ETHUSDT_up_volume_ratio_12,up_volume_ratio_12,raw,symbol,up_volume_ratio_12,0.5314554250183273,0.4563890270520576,0.027536620895063032,0.22504351817684912,0.10106975203412784,12,12,28.0,21.0,0.17864405910137715,0.28570606475042426
5m_others,price_seq_others,ETHUSDT_high_roc_12,high,roc_12,symbol,high_roc_12,0.5289936436573212,0.4425015669430803,0.028393624219523784,0.2241215658936538,0.11599627453157868,12,12,28.0,21.0,0.1688700983635049,0.2903928051675597
5m_others,price_seq_others,ETHUSDT_volume_impact_scale,volume_impact,scale,symbol,volume_impact_scale,0.5417026087265213,0.4403283577049442,0.020427394510197677,0.22021586513092292,0.09121416618534024,12,12,28.0,21.0,0.17595981299279898,0.2716823928045293
5m_others,price_seq_others,ETHUSDT_trades_z_short,trades,z_short,symbol,trades_z_short,0.5414380878789861,0.4424983013901967,0.029839965563605502,0.21876959448170694,0.08955596701398781,12,12,28.0,21.0,0.1766602569974002,0.2714295816645615
5m_target,price_seq_target,volume_impact_scale,volume_impact,scale,global,volume_impact_scale,0.48736754179450453,0.4404989405484674,0.059672303074519296,0.21865431239106806,0.12121269972905131,12,12,28.0,21.0,0.16016918482813655,0.2876146294741558
5m_others,price_seq_others,1000PEPEUSDT_buy_volume_z_long,buy_volume,z_long,symbol,buy_volume_z_long,0.5189556768136011,0.4413269549602732,0.01860711213273979,0.21860872866383343,0.10140346357745596,12,12,28.0,21.0,0.1677592473029365,0.2746001403856198
5m_others,price_seq_others,ETHUSDT_trades_roc_12,trades,roc_12,symbol,trades_roc_12,0.5230752460863332,0.4607120453919744,0.022834331253522796,0.21746067706452746,0.0896253091728007,12,12,28.0,21.0,0.17550338049676403,0.2719521363941242
5m_others,price_seq_others,SOLUSDT_volume_impact_scale,volume_impact,scale,symbol,volume_impact_scale,0.5137600471097055,0.44287824013799154,0.008789554175773711,0.21559638166079417,0.11143416703403576,12,12,28.0,21.0,0.1566778948728573,0.278023177106548
5m_others,price_seq_others,1000PEPEUSDT_volume_ratio_z_long,volume_ratio,z_long,symbol,volume_ratio_z_long,0.502664794696767,0.44287824013799154,0.016524435051529587,0.21544665864181053,0.10375413309762975,12,12,28.0,21.0,0.16453265306786255,0.27312220141363014
5m_others,price_seq_others,DOGEUSDT_buy_volume_z_long,buy_volume,z_long,symbol,buy_volume_z_long,0.5304959376165969,0.442117309367473,0.011260907325401507,0.21296849039510948,0.0940861729299242,12,12,28.0,21.0,0.16517609898294067,0.2681990978992347
