window_size,window_size_1d,horizon_k,recent_bars,n_valid,n_train,n_valid_split,n_test,binary_positive_rate_train,binary_positive_rate_test
12,6,6,6,2500,1750,375,375,0.5165714285714286,0.5413333333333333
12,6,12,12,2500,1750,375,375,0.5182857142857142,0.576
12,12,6,6,2500,1750,375,375,0.5165714285714286,0.5413333333333333
12,12,12,12,2500,1750,375,375,0.5182857142857142,0.576
24,6,12,12,2500,1750,375,375,0.5154285714285715,0.568
24,6,24,24,2500,1750,375,375,0.5291428571428571,0.6266666666666667
24,12,12,12,2500,1750,375,375,0.5154285714285715,0.568
24,12,24,24,2500,1750,375,375,0.5291428571428571,0.6266666666666667
48,6,24,24,2500,1750,375,375,0.5308571428571428,0.6133333333333333
48,6,48,48,2500,1750,375,375,0.5274285714285715,0.584
48,12,24,24,2500,1750,375,375,0.5308571428571428,0.6133333333333333
48,12,48,48,2500,1750,375,375,0.5274285714285715,0.584
