window_size,window_size_1d,horizon_k,recent_bars,rows_count,mean_signal_score,top_signal_mean,mean_auc_binary,mean_macro_f1,mean_importance_pct
12,6,6,6,195,0.40371920930906796,0.44933481087395943,0.49417694040789467,0.9974186886938565,0.015384615384615385
12,12,6,6,195,0.40373335314438263,0.449221362085054,0.4944212630459623,0.9974186886938565,0.015384615384615385
48,6,48,48,195,0.15199268907965569,0.3096071936730151,0.5037842353174282,0.3329701923432991,0.015384615384615385
48,12,48,48,195,0.1502178113406051,0.3003667910038146,0.5032073797879909,0.3329701923432991,0.015384615384615382
48,6,24,24,195,0.14866766720541627,0.2828666915455695,0.5021496943835775,0.331121076674595,0.015384615384615382
48,12,24,24,195,0.1463916667441085,0.26512792963328896,0.5003264521585361,0.331121076674595,0.015384615384615385
24,6,24,24,195,0.1447224710503915,0.24923962065767546,0.4986247369651625,0.33073369691520027,0.015384615384615382
24,12,24,24,195,0.14408122718787106,0.2453561151305699,0.49758662613981763,0.33073369691520027,0.015384615384615382
24,6,12,12,195,0.143657080248766,0.2208972968793945,0.5030367071055647,0.3324374787875851,0.015384615384615382
24,12,12,12,195,0.14240244894718634,0.21082875974481327,0.5013111803669967,0.3324374787875851,0.015384615384615385
12,6,12,12,195,0.14171206745128964,0.2074913576186815,0.49893035472175934,0.3324397732618853,0.015384615384615385
12,12,12,12,195,0.14157694139635227,0.20614129871311274,0.49919069206280947,0.3324397732618853,0.015384615384615385
