#{"t_start": 1772680299.729786, "env_id": "None"}
r,l,t
-1.4928031,5483,129.375787
-1.535093,5950,140.44548
-1.5404456,6141,144.977884
-1.5308242,6313,149.08552
-1.5287497,6435,151.968848
-1.5226609,6555,154.804989
-1.5336803,6655,157.181179
-1.5309818,6704,158.324545
-1.5245976,6765,159.791001
-1.5355277,6774,159.983625
-1.5275456,6872,162.28407
-1.5255295,6906,163.092498
-1.5279281,6910,163.189516
-1.5287844,7061,166.795485
-1.5180554,7078,167.186035
-1.5253121,7110,167.941135
-1.5241065,7190,169.87174
-1.5196769,7293,172.331106
-1.5196078,7307,172.659867
-1.5176508,7367,174.103484
-1.5200856,7420,175.353035
-1.5352347,7487,176.950002
-1.5346864,7617,180.016657
-1.5560279,7623,180.157196
-1.5168941,7663,181.106674
-1.535878,7757,183.34252
-1.510873,7807,184.545681
-1.5153489,7858,185.729301
-1.5415598,7886,186.38018
-1.5233172,7912,187.011523
-1.5154322,7982,188.667541
-1.5131164,7996,189.001236
-1.5196403,7997,189.042236
-1.4398376,8123,192.05868
-1.5213139,8180,193.400138
-1.5216433,8332,197.003595
-1.5180705,8617,203.774211
-1.5109085,8627,204.008975
-1.5107197,8733,206.539944
-1.5085618,8817,208.525212
-1.5088922,8853,209.449867
-1.4985422,8912,211.000228
-1.376377,8928,211.420285
-1.4384247,8928,211.420285
-1.0389448,8928,211.420285
-0.0597337,8928,211.420285
-1.3450463,8928,211.420285
-0.0597337,8928,211.420285
-0.0597337,8928,211.420285
-0.0597337,8928,211.420285
-0.0597337,8928,211.420285
-1.1316482,8928,211.420285
-1.412293,8928,211.420285
-1.4610169,8928,211.420285
-0.0597337,8928,211.420285
-1.3618896,8928,211.420285
-1.3007772,8928,211.420285
-1.4491112,8928,211.420285
-1.329259,8928,211.420285
-0.0597337,8928,211.420285
-0.0597337,8928,211.420285
-1.2384555,8928,211.420285
-0.0597337,8928,211.420285
-1.4673429,8928,211.420285
-1.5013275,3723,285.621181
-1.5807297,6570,296.493787
-1.584881,6259,297.727289
-1.5338426,5518,303.329493
-1.5536112,5335,303.564807
-1.5786523,7454,306.246916
-1.6041836,6472,321.565829
-1.5941211,6812,323.894925
-1.5932361,6733,326.400241
-1.5998789,5667,327.640762
-1.5959423,7377,331.863032
-1.5959375,5948,332.753418
-1.692114,6223,336.141885
-1.6057823,6665,340.752019
-1.5987476,8315,341.528132
-1.5927744,7794,343.902427
-1.6017107,7897,344.85257
-1.5985532,7725,345.549663
-1.5047859,5860,349.16993
-1.6178113,6422,355.198
-1.5986276,6192,356.818576
-1.6251527,6269,358.625208
-1.6187522,6334,360.082511
-1.5455902,8928,362.431082
-1.60553,7402,362.902496
-0.18725976,8928,365.195056
-1.6119909,6731,367.517637
-1.2163063,8928,370.229129
-1.6135557,8813,370.716054
-1.6304275,6972,374.81164
-1.6105082,8041,375.447279
-1.5889263,8156,376.294264
-1.4871182,8928,377.268045
-1.6332806,8789,379.351704
-0.1992859,8928,379.857546
-1.6159813,7192,379.903545
-1.6586487,7200,380.18616
-1.617451,7255,381.479438
-1.6127511,7301,382.544061
-1.6090865,7313,382.845099
-1.6175458,8373,383.861787
-0.20329303,8928,384.088309
-1.5962262,8928,385.290491
-1.6323056,7478,386.612624
-1.6065403,7483,386.74423
-1.61742,7500,387.135081
-1.128214,8928,389.852936
-0.20908867,8928,389.99347
-1.5567793,8928,390.895874
-0.72840613,8928,395.419208
-0.86157095,8928,398.670718
-1.6373796,8573,412.101285
-1.6127409,8581,412.289558
-1.1766809,8928,413.128651
-1.624179,8669,414.359425
-0.8467172,8928,415.861873
-1.5022869,8928,417.803284
-1.650554,8926,419.960322
-1.1559018,8928,420.384556
-1.5069654,8928,420.384556
-1.5937183,8928,420.384556
-1.4437308,8928,420.384556
-1.5480556,8928,420.384556
-1.4157335,8928,420.384556
-1.6399872,6318,443.337234
-1.6517184,6046,463.683955
-1.6602114,7075,467.494855
-1.6498396,7705,476.147112
-0.29673108,8928,492.866644
-1.6779748,8314,499.224802
-1.6641234,5019,499.416282
-1.6701841,6143,499.501287
-1.6744522,7502,500.274305
-1.6735002,6829,502.414009
-1.6718035,8719,505.833141
-1.670633,6414,519.863632
-1.6844244,8093,520.099667
-1.6887424,8016,522.66429
-1.7012929,8392,528.222138
-1.6891162,7117,529.102685
-0.35391247,8928,529.293921
-1.6762849,6767,532.967196
-0.9897328,8928,535.482096
-1.6861013,8344,539.48287
-1.6777555,6572,543.719834
-1.6973398,7669,544.378204
-0.34334835,8928,549.011287
-0.34396338,8928,549.819466
-1.6797736,8140,552.60302
-1.7062596,7127,553.812216
-0.34712893,8928,553.907724
-0.34996888,8928,557.590951
-1.6914984,8528,557.809972
-1.7101883,8686,558.048156
-1.6934053,6049,562.051442
-1.7131778,7802,562.60857
-1.6936246,7871,565.507493
-1.7449135,7980,566.583294
-0.35939297,8928,568.690538
-1.704899,6345,568.956075
-1.6992532,8107,569.516254
-1.7149211,7928,572.044958
-1.6923243,6807,572.473282
-1.7103693,8156,574.552831
-1.7083504,6885,575.503597
-1.5018275,8928,576.206634
-1.7094625,7115,578.674589
-1.581724,8928,579.509048
-0.3744007,8928,584.361666
-1.7072315,7962,585.112938
-1.6914378,8928,585.207456
-0.37615648,8928,586.209401
-1.7303088,8601,588.065695
-1.618768,8928,588.34622
-1.756431,8792,589.847267
-1.7299681,8754,590.18644
-1.4258947,8928,591.481843
-1.7112426,7348,592.585721
-1.7173288,7540,597.107085
-1.7167645,7591,597.914423
-0.38587302,8928,598.953588
-1.4521525,8928,600.046566
-1.7224498,7832,601.435133
-1.7248586,7838,604.193053
-1.6421174,8928,604.666481
-1.7275592,7947,606.764954
-1.7412504,7430,617.719629
-1.7948015,6522,621.29546
-1.3969227,8928,621.716395
-1.6582804,8928,625.304901
-1.7202876,6465,628.884292
-1.7571944,7030,659.063288
-1.7248954,5482,662.254768
-1.7287337,6964,663.805795
-1.7426968,8485,663.805795
-1.7655765,7795,683.590643
-1.7532924,7051,689.028229
-1.7729548,7276,700.761681
-1.7582031,6851,701.006728
-1.787702,8269,701.094733
-1.7715565,7705,701.803176
-1.681542,4919,705.938083
-1.2538416,8928,710.220009
-1.4241443,8928,711.078006
-1.7232044,5087,712.683401
-0.4844848,8928,713.254003
-1.762934,7628,715.383669
-1.7775021,7352,717.945086
-1.7731429,6873,720.288751
-1.7635304,6949,721.942193
-1.7953377,8801,728.099303
-1.7242397,4502,728.618494
-1.8018975,7834,735.256454
-1.7298474,8928,739.323492
-0.5075881,8928,740.213179
-1.8143191,7878,752.090192
-1.7881334,7112,753.667403
-1.542645,8928,754.869498
-1.7957025,8847,758.256966
-1.7621561,6491,760.557717
-1.7916874,7464,762.000669
-1.7029566,8928,763.781345
-1.7816839,6914,763.828351
-0.5294978,8928,764.987157
-0.5295917,8928,765.085669
-1.8166822,8667,767.64776
-1.2358423,8928,769.197065
-0.5377131,8928,773.17932
-1.8080856,7341,775.142516
-0.54184294,8928,777.704144
-1.1156373,8928,779.80992
-1.8032074,7648,779.895425
